"filename", "language", "PHP", "JavaScript", "comment", "blank", "total"
"\\media\Marketing\Development\internalweb\wp-content\plugins\kanbanotron\admin\import_kanbans.php", "PHP", 110, 0, 5, 23, 138
"\\media\Marketing\Development\internalweb\wp-content\plugins\kanbanotron\app.php", "PHP", 23, 0, 2, 4, 29
"\\media\Marketing\Development\internalweb\wp-content\plugins\kanbanotron\components\add_to_purchase_order.php", "PHP", 27, 0, 7, 13, 47
"\\media\Marketing\Development\internalweb\wp-content\plugins\kanbanotron\components\load_kanban.php", "PHP", 101, 0, 3, 6, 110
"\\media\Marketing\Development\internalweb\wp-content\plugins\kanbanotron\components\new_purchase_order.php", "PHP", 40, 0, 2, 11, 53
"\\media\Marketing\Development\internalweb\wp-content\plugins\kanbanotron\components\purchase_order_preview.php", "PHP", 90, 0, 18, 29, 137
"\\media\Marketing\Development\internalweb\wp-content\plugins\kanbanotron\components\remove_all_from_purchase_order.php", "PHP", 50, 0, 18, 22, 90
"\\media\Marketing\Development\internalweb\wp-content\plugins\kanbanotron\components\remove_from_purchase_order.php", "PHP", 24, 0, 4, 10, 38
"\\media\Marketing\Development\internalweb\wp-content\plugins\kanbanotron\initialize.php", "PHP", 70, 0, 3, 19, 92
"\\media\Marketing\Development\internalweb\wp-content\plugins\kanbanotron\js\kanbanotron.js", "JavaScript", 0, 90, 9, 23, 122
"\\media\Marketing\Development\internalweb\wp-content\plugins\kanbanotron\kanbanotron.php", "PHP", 74, 0, 24, 15, 113
"\\media\Marketing\Development\internalweb\wp-content\plugins\kanbanotron\kanbanotron_connection.php", "PHP", 10, 0, 2, 4, 16
"\\media\Marketing\Development\internalweb\wp-content\plugins\kanbanotron\knbn_wp_connection.php", "PHP", 10, 0, 2, 4, 16
"\\media\Marketing\Development\internalweb\wp-content\plugins\kanbanotron\main.php", "PHP", 12, 0, 0, 2, 14
"\\media\Marketing\Development\internalweb\wp-content\plugins\kanbanotron\request.php", "PHP", 92, 0, 5, 24, 121
"Total", "-", 733, 90, 104, 209, 1136
